cutii_sheet_row,cutii_name,qty_per_year,status,confirmed_excel_row,top1_excel_row,top1_score,top1_score_name,top1_score_pdf,top1_name,top1_pdf,top2_excel_row,top2_score,top2_score_name,top2_score_pdf,top2_name,top2_pdf,top3_excel_row,top3_score,top3_score_name,top3_score_pdf,top3_name,top3_pdf
27,Neurocrin sol.inj. 15 mg/ml 1 ml N 10,2750,ambiguous,,659,59.04761904761905,59.04761904761905,59.04761904761905,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2.pdf,611,56.60377358490566,56.60377358490566,56.60377358490566,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1.pdf,690,56.56565656565657,56.56565656565657,56.56565656565657,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18.pdf
28,Neurocrin sol.inj. 5 mg/ml 1 ml N 10,5000,ambiguous,,659,57.69230769230769,57.69230769230769,57.69230769230769,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2.pdf,611,57.142857142857146,57.142857142857146,57.142857142857146,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1.pdf,613,55.23809523809524,55.23809523809524,55.23809523809524,Ondansetron-BP sol. inj. 2 mg-ml 4 ml N5x2 (ВУМ-105-01) 04.02.22 Red. 2,Ondansetron-BP sol. inj. 2 mg-ml 4 ml N5x2 (ВУМ-105-01) 04.02.22 Red. 2.pdf
29,Neurodax sol.inj. 15 mg/ml 1 ml N 10,4000,ambiguous,,659,57.69230769230769,57.69230769230769,57.69230769230769,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2.pdf,611,57.142857142857146,57.142857142857146,57.142857142857146,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1.pdf,651,56.60377358490566,56.60377358490566,56.60377358490566,Piracetam-BP sol. inj. 200 mg-ml 15 ml N1 (ВУМ-114-02) 15.03.22 Red. 1,Piracetam-BP sol. inj. 200 mg-ml 15 ml N1 (ВУМ-114-02) 15.03.22 Red. 1.pdf
30,Neurodax sol.inj. 5 mg/ml 1 ml N 10,4000,ambiguous,,611,57.69230769230769,57.69230769230769,57.69230769230769,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1,Ondansetron-BP sol. inj. 2 mg-ml 2 ml N5x2 (ВУМ-105-02) 04.02.22 Red. 1.pdf,659,56.310679611650485,56.310679611650485,56.310679611650485,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2,Piridoxin-BP sol. inj. 50 mg-ml 1 ml N10 (ВУМ-217-01) 07.12.21 Red.2.pdf,8,56.25,56.25,56.25,ALGODEX sol. inj. 25 mg_ml 2ml N5 (ВУМ-047-01) 16.03.23 Red.2,ALGODEX sol. inj. 25 mg_ml 2ml N5 (ВУМ-047-01) 16.03.23 Red.2.pdf
31,Oxitocin-BP sol inj 5 UI/1ml N10,24000,ambiguous,,618,54.90196078431372,54.90196078431372,54.90196078431372,Oxitocină-BP sol. inj. 5 UI-ml 1 ml N5 (SPM-107-01-373) 22.12.25 Red.3,Oxitocină-BP sol. inj. 5 UI-ml 1 ml N5 (SPM-107-01-373) 22.12.25 Red.3.pdf,619,53.84615384615385,53.84615384615385,53.84615384615385,Oxitocină-BP sol. inj. 5 UI-ml 1 ml N5x2 (SPM-107-02-373) 22.12.25 Red.4,Oxitocină-BP sol. inj. 5 UI-ml 1 ml N5x2 (SPM-107-02-373) 22.12.25 Red.4.pdf,122,44.680851063829785,44.680851063829785,44.680851063829785,Azitromicină-BP capsule 250 mg N10 (ВУМ-235-02) 24.12.21 Red.2,Azitromicină-BP capsule 250 mg N10 (ВУМ-235-02) 24.12.21 Red.2.pdf
33,Tiamin-BP sol.inj.50 mg/ml 1 ml N10 (Vitamin B1),110450,ambiguous,,784,57.142857142857146,57.142857142857146,57.142857142857146,Tiamin-BP sol. inj. 50 mg-ml 1 ml N5x2 - 07.5 - (ВУМ-225-01) 15.11.21 Red. 2,Tiamin-BP sol. inj. 50 mg-ml 1 ml N5x2 - 07.5 - (ВУМ-225-01) 15.11.21 Red. 2.pdf,690,53.608247422680414,53.608247422680414,53.608247422680414,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18.pdf,838,53.54330708661417,53.54330708661417,53.54330708661417,Vitamina C sol. inj. 150 mg-ml 50 ml N10 (flacoane) (SPM-366-02) 18.08.25 Red.1,Vitamina C sol. inj. 150 mg-ml 50 ml N10 (flacoane) (SPM-366-02) 18.08.25 Red.1.pdf
34,Dexametasone Phosphate 4 mg/ml 1 ml N 25 (export),36300,ambiguous,,287,53.65853658536585,53.65853658536585,53.65853658536585,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6.pdf,288,53.65853658536585,53.65853658536585,53.65853658536585,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4.pdf,290,52.03252032520325,52.03252032520325,52.03252032520325,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6.pdf
35,Dexametazon sol.inj 4 mg/ml 1 ml N 25 (export),20100,ambiguous,,287,66.66666666666666,66.66666666666666,66.66666666666666,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6.pdf,288,66.66666666666666,66.66666666666666,66.66666666666666,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4.pdf,290,65.0,65.0,65.0,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6.pdf
36,Dexapain 25 mg/ml 2 ml N 5 (export),11200,no_match,,290,49.54128440366973,49.54128440366973,49.54128440366973,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6.pdf,291,49.54128440366973,49.54128440366973,49.54128440366973,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x5 (SPM-046-04-373) 26.11.25 Red.3,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x5 (SPM-046-04-373) 26.11.25 Red.3.pdf,287,47.706422018348626,47.706422018348626,47.706422018348626,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6.pdf
37,Relivian 500 mg/ml 2 ml N 5 (Spania),1500,ambiguous,,840,52.72727272727273,52.72727272727273,52.72727272727273,Vitamina C sol. inj. 200 mg-ml 5 ml N5 (fiole) (SPM-366-03) 18.08.25 Red.1,Vitamina C sol. inj. 200 mg-ml 5 ml N5 (fiole) (SPM-366-03) 18.08.25 Red.1.pdf,841,51.785714285714285,51.785714285714285,51.785714285714285,Vitamina C sol. inj. 200 mg-ml 5 ml N5x2 (fiole) (SPM-366-04) 18.08.25 Red.1,Vitamina C sol. inj. 200 mg-ml 5 ml N5x2 (fiole) (SPM-366-04) 18.08.25 Red.1.pdf,815,50.57471264367816,50.57471264367816,50.57471264367816,Vasorutin_comp_50mg_N30 (SPM-197-01) 27.05.24 Red.2,Vasorutin_comp_50mg_N30 (SPM-197-01) 27.05.24 Red.2.pdf
